NOC_YEAR,NOC_CODE,SHARE_NEW_JOBS,SHARE_ATTRITION,DISPLAY_EMP_GROWTH_RATE,DISPLAY_JOB_OPENINGS
2011,11,0.22,0.78,7.1%-8%,501-600
2011,12,0.19,0.81,4.1%-5%,"1,001-2,000"
2011,13,0.4,0.6,13.1%-14%,"10,001-15,000"
2011,14,0.28,0.72,8.1%-9%,"3,001-4,000"
2011,15,0.47,0.53,>20%,"7,001-8,000"
2011,16,0.32,0.68,11.1%-12%,"7,001-8,000"
2011,111,0.4,0.6,12.1%-13%,"10,001-15,000"
2011,112,0.41,0.59,11.1%-12%,"6,001-7,000"
2011,113,0.39,0.61,12.1%-13%,"3,001-4,000"
2011,114,0.41,0.59,12.1%-13%,"4,001-5,000"
2011,121,0.46,0.54,14.1%-15%,"5,001-6,000"
2011,122,0.46,0.54,11.1%-12%,"9,001-10,000"
2011,124,0.53,0.47,13.1%-14%,"9,001-10,000"
2011,125,0.46,0.54,14.1%-15%,"3,001-4,000"
2011,131,0,1,<=0%,501-600
2011,132,0,1,<=0%,301-400
2011,211,0.38,0.62,11.1%-12%,"2,001-3,000"
2011,212,0.31,0.69,8.1%-9%,"1,001-2,000"
2011,213,0.4,0.6,11.1%-12%,"10,001-15,000"
2011,311,0.32,0.68,9.1%-10%,"4,001-5,000"
2011,411,0.18,0.82,4.1%-5%,501-600
2011,412,0.17,0.83,3.1%-4%,601-700
2011,413,0.27,0.73,6.1%-7%,101-200
2011,414,0.18,0.82,3.1%-4%,601-700
2011,421,0,1,<=0%,"1,001-2,000"
2011,422,0.23,0.77,7.1%-8%,"3,001-4,000"
2011,423,0.36,0.64,11.1%-12%,"3,001-4,000"
2011,431,0.25,0.75,8.1%-9%,101-200
2011,432,0.25,0.75,8.1%-9%,201-300
2011,433,0,1,<=0%,801-900
2011,511,0.49,0.51,>20%,501-600
2011,512,0.49,0.51,19.1%-20%,"1,001-2,000"
2011,513,0.65,0.35,>20%,"2,001-3,000"
2011,601,0.45,0.55,13.1%-14%,"10,001-15,000"
2011,621,0.46,0.54,15.1%-16%,">20,000"
2011,631,0.72,0.28,>20%,"15,001-20,000"
2011,632,0.65,0.35,>20%,"3,001-4,000"
2011,651,0.58,0.42,14.1%-15%,"2,001-3,000"
2011,711,0.49,0.51,14.1%-15%,"10,001-15,000"
2011,712,0.47,0.53,14.1%-15%,"10,001-15,000"
2011,714,0.47,0.53,15.1%-16%,"8,001-9,000"
2011,731,0.42,0.58,11.1%-12%,"4,001-5,000"
2011,811,0.32,0.68,10.1%-11%,501-600
2011,821,0.23,0.77,7.1%-8%,"10,001-15,000"
2011,822,0.29,0.71,7.1%-8%,401-500
2011,823,0.24,0.76,5.1%-6%,<=100
2011,911,0.31,0.69,9.1%-10%,"10,001-15,000"
2011,912,0.35,0.65,11.1%-12%,"1,001-2,000"
2011,1111,0.49,0.51,12.1%-13%,">20,000"
2011,1112,0.59,0.41,11.1%-12%,"6,001-7,000"
2011,1113,0.52,0.48,11.1%-12%,"2,001-3,000"
2011,1114,0.48,0.52,10.1%-11%,"10,001-15,000"
2011,1121,0.5,0.5,11.1%-12%,"7,001-8,000"
2011,1122,0.54,0.46,13.1%-14%,"10,001-15,000"
2011,1123,0.62,0.38,12.1%-13%,"9,001-10,000"
2011,1211,0.4,0.6,10.1%-11%,"1,001-2,000"
2011,1212,0.42,0.58,12.1%-13%,"2,001-3,000"
2011,1213,0.14,0.86,3.1%-4%,201-300
2011,1214,0,1,<=0%,401-500
2011,1215,0.44,0.56,12.1%-13%,"5,001-6,000"
2011,1221,0.38,0.62,11.1%-12%,">20,000"
2011,1222,0.4,0.6,10.1%-11%,"5,001-6,000"
2011,1223,0.54,0.46,12.1%-13%,"3,001-4,000"
2011,1224,0.52,0.48,19.1%-20%,"8,001-9,000"
2011,1225,0.41,0.59,11.1%-12%,"4,001-5,000"
2011,1226,0.66,0.34,18.1%-19%,"3,001-4,000"
2011,1227,0.4,0.6,12.1%-13%,501-600
2011,1228,0.06,0.94,0.1%-1%,"1,001-2,000"
2011,1241,0.43,0.57,11.1%-12%,">20,000"
2011,1242,0.47,0.53,12.1%-13%,"4,001-5,000"
2011,1243,0.41,0.59,9.1%-10%,"5,001-6,000"
2011,1251,0.46,0.54,13.1%-14%,"1,001-2,000"
2011,1252,0.35,0.65,8.1%-9%,401-500
2011,1253,0.38,0.62,8.1%-9%,401-500
2011,1254,0.53,0.47,9.1%-10%,501-600
2011,1311,0.42,0.58,12.1%-13%,"10,001-15,000"
2011,1312,0.48,0.52,10.1%-11%,"2,001-3,000"
2011,1313,0.49,0.51,10.1%-11%,"1,001-2,000"
2011,1314,0.58,0.42,18.1%-19%,"1,001-2,000"
2011,1315,0.49,0.51,13.1%-14%,501-600
2011,1411,0.45,0.55,10.1%-11%,">20,000"
2011,1414,0.55,0.45,12.1%-13%,"10,001-15,000"
2011,1415,0.52,0.48,9.1%-10%,"1,001-2,000"
2011,1416,0.52,0.48,14.1%-15%,201-300
2011,1422,0.46,0.54,10.1%-11%,"3,001-4,000"
2011,1423,0.44,0.56,13.1%-14%,101-200
2011,1431,0.46,0.54,12.1%-13%,"15,001-20,000"
2011,1432,0.43,0.57,11.1%-12%,"3,001-4,000"
2011,1434,0.51,0.49,11.1%-12%,"2,001-3,000"
2011,1435,0.51,0.49,13.1%-14%,"1,001-2,000"
2011,1451,0.62,0.38,>20%,"1,001-2,000"
2011,1452,0.45,0.55,9.1%-10%,"2,001-3,000"
2011,1454,0.25,0.75,4.1%-5%,"1,001-2,000"
2011,1511,0,1,<=0%,"2,001-3,000"
2011,1512,0,1,<=0%,"1,001-2,000"
2011,1513,0.26,0.74,4.1%-5%,"2,001-3,000"
2011,1521,0.49,0.51,11.1%-12%,"10,001-15,000"
2011,1522,0.55,0.45,14.1%-15%,"2,001-3,000"
2011,1523,0.47,0.53,10.1%-11%,"2,001-3,000"
2011,1524,0.52,0.48,12.1%-13%,"3,001-4,000"
2011,1525,0.5,0.5,10.1%-11%,"3,001-4,000"
2011,1526,0.53,0.47,11.1%-12%,601-700
2011,2111,0.39,0.61,7.1%-8%,201-300
2011,2112,0.21,0.79,2.1%-3%,"901-1,000"
2011,2113,0.48,0.52,10.1%-11%,401-500
2011,2114,0.34,0.66,6.1%-7%,<=100
2011,2115,0.34,0.66,6.1%-7%,101-200
2011,2121,0.54,0.46,8.1%-9%,"1,001-2,000"
2011,2122,0.33,0.67,6.1%-7%,101-200
2011,2123,0.52,0.48,11.1%-12%,201-300
2011,2131,0.51,0.49,13.1%-14%,"5,001-6,000"
2011,2132,0.49,0.51,12.1%-13%,"6,001-7,000"
2011,2133,0.48,0.52,12.1%-13%,"5,001-6,000"
2011,2134,0.43,0.57,8.1%-9%,"901-1,000"
2011,2141,0.5,0.5,12.1%-13%,"2,001-3,000"
2011,2142,0.41,0.59,9.1%-10%,201-300
2011,2143,0.48,0.52,11.1%-12%,201-300
2011,2144,0.56,0.44,13.1%-14%,201-300
