"NOC_YEAR","NOC_CODE","G1","G2","EC1","EC2","EC3","EC4","EC5","EA1","EA12","EA14","EA15","EA16","EA2","EA4","EA8","EA9","EAO","AG10","AG13","AG14","AG15","AG16","AG17","AG7"
"2016","0011","61","39","","","0","100","2.1","100","24.934","0","11.286","1.05","8.399","20.997","4.199","22.047","7.087","5.541","13.456","20.053","31.926","23.747","3.958","1.319"
"2016","0012","53","47","","","1","99","1.6","100","34.911","0","29.821","4.018",".625","7.589","1.429","15.357","6.25","6.339","21.071","39.018","28.482","4.107",".446",".536"
"2016","0013","74","26","","","22","72","1.5","100","40.861",".162","19.179","2.269","1.531","12.192","1.459","15.343","7.005","8.962","24.222","34.659","23.106","7","1.602",".45"
"2016","0014","45","55","","","6","92","3","100","31.107",".918","27.741","4.742",".918","9.026","1.122","17.287","7.139","6.323","16.318","33.605","33.197","8.261",".765","1.53"
"2016","0015","76","24","","","27","66","1.5","100","31.143",".221","11.679",".828","4.942","22.032","3.424","19.63","6.102","8.308","20.259","34.033","25.945","8.805","2.153",".497"
"2016","0016","84","16","","","28","67","1.1","100","26.837",".15","11.119","1.224","6.147","20.415","7.146","20.515","6.447","5.746","18.336","35.673","28.903","8.818","2.173",".35"
"2016","0111","43","57","","","3","94","2.2","100","40.649",".03","15.032",".442","1.386","12.306",".807","20.835","8.514","16.146","27.129","31.988","20.091","3.412",".411",".823"
"2016","0112","29","71","","","0","100","3.1","100","40.964",".126","12.216",".303","1.439","11.686","1.641","24.18","7.446","18.177","30.573","29.942","17.773","1.843",".101","1.591"
"2016","0113","62","38","","","0","100","2.9","100","32.602",".11","10.812",".11","2.854","18.99","1.866","27.278","5.379","13.172","29.967","33.425","19.978","2.25",".384",".823"
"2016","0114","49","51","","","7","90","2.8","100","30.873",".164","15.211","1.148","1.968","17.794","1.722","24.682","6.437","15.738","27.418","31.885","19.303","3.361",".533","1.762"
"2016","0121","56","44","","","15","73","1.9","100","40.05",".323","12.8",".287","2.115","14.701","2.187","21.441","6.095","14.127","26.138","30.979","20.115","5.952","1.506","1.183"
"2016","0122","45","55","","","1","98","2.5","100","34.318",".052","14.135",".484","1.521","21.168","1.002","21.998","5.322","22.132","29.976","29.855","15.117","1.261",".052","1.607"
"2016","0124","43","57","","","4","92","4.2","100","46.561",".191","15.035",".353","1.161","10.817",".926","19.283","5.673","30.898","31.104","22.813","10.113","1.47",".22","3.381"
"2016","0125","62","38","","","27","55","1.9","100","26.102",".203","8.667",".659","5.525","23.568","5.068","25.443","4.764","16.32","25.748","30.005","19.767","5.271","1.267","1.622"
"2016","0131","68","32","","","0","100","2.6","100","33.578","0","11.084",".57","1.793","19.641","1.793","26.732","4.808","15.61","32.927","31.626","17.236","1.138",".163","1.301"
"2016","0132","59","41","","","9","85","1.1","100","21.839",".575","5.172","0","8.046","30.46","3.736","25.575","4.598","10.92","19.828","41.379","22.701","4.31","0",".862"
"2016","0211","86","14","","","4","94","2.6","100","44.179","0","23.463","3.343",".119",".119","3.522","19.045","6.209","13.381","27.718","33.871","20.191","3.763",".179",".896"
"2016","0212","58","42","","","3","96","2.3","100","33.981",".555","25.381","15.673","0",".277",".693","17.614","5.825","11.234","31.9","34.258","18.447","3.329","0",".832"
"2016","0213","75","25","","","5","93","2.7","100","40.805",".081","16.053","1.25","1.136","9.852",".876","24.006","5.941","13.704","34.47","34.941","14.256","1.38",".049","1.201"
"2016","0311","26","75","","","4","93","2.6","100","29.895","2.508","24.676","3.519",".93","7.443","1.335","23.948","5.744","13.997","25.526","34.304","21.926","3.074",".243",".93"
"2016","0411","38","62","","","0","100",".4","100","36.975",".63","36.975","5.462",".42","3.151","0","11.134","5.252","3.774","29.35","44.864","20.126","1.048","0",".839"
"2016","0412","52","48","","","0","100","1","100","40.234","0","26.878","3.005","0","8.514",".668","16.194","4.508","10.851","29.215","36.394","22.037","1.002","0",".501"
"2016","0413","31","71","","","0","100","0","100","34.247","0","46.575","4.11","0","2.74","2.74","6.849","2.74","17.808","23.288","39.726","15.068","4.11","0","0"
"2016","0414","56","44","","","0","100","2.3","100","34.177","0","21.7","2.17","1.266","11.392","3.797","19.892","5.606","8.333","32.971","37.681","17.754","2.536","0",".725"
"2016","0421","33","67","","","0","100","3.5","100","31.117",".821","29.475","12.315",".657","7.471",".657","13.3","4.187","14.766","26.251","28.548","22.395","5.25",".492","2.297"
"2016","0422","39","61","","","0","100","1","100","38.633","0","45.344","1.552","0","0","0","4.069","10.403","3.649","25.419","46.477","19.841","4.195",".252",".168"
"2016","0423","26","74","","","0","100","2.7","100","32.565",".351","17.986","1.152","1.152","9.218","1.553","30.511","5.511","14.972","25.138","32.949","20.881","3.856",".25","1.953"
"2016","0431","78","21","","","0","100","2","100","27.083","0","14.583","2.083","0","14.583","2.083","28.125","11.458","4.124","10.309","53.608","28.866","3.093","0","0"
"2016","0432","93","7","","","0","100","2","100","16.107","0","2.685","0","0","23.49","9.396","40.268","8.054","4","14","46.667","31.333","4","0","0"
"2016","0433","84","16","","","0","100","1.9","100","47.709",".982","25.777",".491",".491","12.766","1.391","6.956","3.437","21.458","28.829","34.07","8.518",".573",".164","6.388"
"2016","0511","26","74","","","1","92","3.4","100","25.664","0","41.888","1.475","1.475","10.914",".885","11.799","5.9","20","20.294","26.765","26.765","3.235",".588","2.353"
"2016","0512","52","48","","","11","80","3.5","100","38.64",".289","11.433","1.302","1.881","15.485","1.302","24.168","5.499","18.09","26.773","28.654","18.379","4.631",".868","2.605"
"2016","0513","50","50","","","13","80","5.4","100","31.924",".222","6.563",".334","3.782","22.692","2.447","28.031","4.004","26.837","26.058","21.604","13.474","2.895","1.002","8.129"
"2016","0601","66","34","","","3","96","3.3","100","36.953",".099","8.528",".545","2.363","19.98","2.231","24.277","5.024","19.931","31.863","29.995","14.543","2.016",".182","1.471"
"2016","0621","58","42","","","15","74","2.7","100","19.633",".179","3.685",".168","7.913","35.053","4.962","24.798","3.608","20.153","22.979","27.875","19.644","4.413",".728","4.208"
"2016","0631","51","49","","","20","68","3.4","100","17.18",".198","2.953",".188","10.79","36.828","3.904","23.64","4.32","24.651","24.036","24.958","15.199","3.26",".466","7.431"
"2016","0632","46","54","","","15","69","5.8","100","24.319",".199","5.05",".465","6.179","24.917","5.116","28.04","5.714","16.045","18.975","24.501","22.57","9.188","1.664","7.057"
"2016","0651","44","56","","","22","52","2.3","100","17.665",".178","3.817",".444","8.655","26.942","9.676","28.229","4.394","19.574","22.725","28.806","18.553","5.104",".666","4.572"
"2016","0711","88","12","","","17","69","3.5","100","19.557",".034","4.038",".206","8.352","23.801","11.273","28.596","4.142","21.609","23.603","28.004","18.773","4.04",".67","3.301"
"2016","0712","95","5","","","23","33","4.5","100","10.034",".159","1.703",".159","16.799","35.301","11.373","21.771","2.701","17.121","22.956","29.837","21.866","3.497",".613","4.11"
"2016","0714","79","21","","","6","89","3.1","100","16.939",".088","3.184",".243","8.226","29.522","9","28.947","3.848","13.329","21.64","32.184","24.337","4.885",".973","2.653"
"2016","0731","75","25","","","12","83","2.5","100","19.985",".147","5.715",".295","8.038","30.531","5.015","25.811","4.462","14.101","25.729","33.666","20.893","3.47",".591","1.55"
