Date,"Ontario employment (x 1,000), seasonally adjusted"
01-01-2005,6330.9
02-01-2005,6348.8
03-01-2005,6348.4
04-01-2005,6364.2
05-01-2005,6387.2
06-01-2005,6384.4
07-01-2005,6377.4
08-01-2005,6394.8
09-01-2005,6411.6
10-01-2005,6419.3
11-01-2005,6419.6
12-01-2005,6395
01-01-2006,6421.2
02-01-2006,6399.8
03-01-2006,6455.7
04-01-2006,6476.2
05-01-2006,6490.7
06-01-2006,6495.6
07-01-2006,6485.2
08-01-2006,6457.6
09-01-2006,6453.1
10-01-2006,6436.5
11-01-2006,6457.1
12-01-2006,6503.6
01-01-2007,6503.4
02-01-2007,6509.9
03-01-2007,6501.5
04-01-2007,6495.9
05-01-2007,6513.2
06-01-2007,6524.1
07-01-2007,6554.3
08-01-2007,6565.1
09-01-2007,6562
10-01-2007,6588.9
11-01-2007,6569.8
12-01-2007,6559.9
01-01-2008,6573.4
02-01-2008,6609.5
03-01-2008,6591.4
04-01-2008,6607.1
05-01-2008,6615.5
06-01-2008,6593
07-01-2008,6580.3
08-01-2008,6602.6
09-01-2008,6617.2
10-01-2008,6627.7
11-01-2008,6574.9
12-01-2008,6584.8
01-01-2009,6489.6
02-01-2009,6481.4
03-01-2009,6462.6
04-01-2009,6426
05-01-2009,6404.3
06-01-2009,6395.4
07-01-2009,6416.6
08-01-2009,6417.4
09-01-2009,6443
10-01-2009,6464.3
11-01-2009,6481.2
12-01-2009,6449.8
01-01-2010,6476.9
02-01-2010,6452.6
03-01-2010,6485.2
04-01-2010,6506.5
05-01-2010,6545.6
06-01-2010,6573.5
07-01-2010,6582.8
08-01-2010,6589.5
09-01-2010,6570.7
10-01-2010,6578
11-01-2010,6604.4
12-01-2010,6611.6
01-01-2011,6648.1
02-01-2011,6622.3
03-01-2011,6633.7
04-01-2011,6667.3
05-01-2011,6648.5
06-01-2011,6687.5
07-01-2011,6676.6
08-01-2011,6684.3
09-01-2011,6660.9
10-01-2011,6647.2
11-01-2011,6664.6
12-01-2011,6660.5
01-01-2012,6662.5
02-01-2012,6646.8
03-01-2012,6694.5
04-01-2012,6701.6
05-01-2012,6674.6
06-01-2012,6680.1
07-01-2012,6708.4
08-01-2012,6701.5
09-01-2012,6733.8
10-01-2012,6722
11-01-2012,6743.1
12-01-2012,6785
01-01-2013,6764.4
02-01-2013,6811.2
03-01-2013,6782.6
04-01-2013,6789.1
05-01-2013,6814.2
06-01-2013,6818
07-01-2013,6800
08-01-2013,6819.5
09-01-2013,6821.4
10-01-2013,6820.6
11-01-2013,6824.1
12-01-2013,6805
01-01-2014,6808.3
02-01-2014,6817.6
03-01-2014,6806.9
04-01-2014,6834
05-01-2014,6823.6
06-01-2014,6820.8
07-01-2014,6865.2
08-01-2014,6841.5
09-01-2014,6854.3
10-01-2014,6874
11-01-2014,6846.2
12-01-2014,6859.8
01-01-2015,6847.2
02-01-2015,6870.5
03-01-2015,6892.4
04-01-2015,6867.6
05-01-2015,6890
06-01-2015,6893.3
07-01-2015,6891.7
08-01-2015,6905.4
09-01-2015,6882.2
10-01-2015,6891
11-01-2015,6885.3
12-01-2015,6910.5
01-01-2016,6929.4
02-01-2016,6927
03-01-2016,6934.2
04-01-2016,6934.5
05-01-2016,6965.4
06-01-2016,6966.7
07-01-2016,6936.9
08-01-2016,6957
09-01-2016,6956.5
10-01-2016,6978.3
11-01-2016,6998.5
12-01-2016,7000.4
01-01-2017,7045
02-01-2017,7048.5
03-01-2017,7053.5
04-01-2017,7063.3
05-01-2017,7083.3
06-01-2017,7092.8
07-01-2017,7129.5
08-01-2017,7141
09-01-2017,7163.9
10-01-2017,7178.2
11-01-2017,7212.1
12-01-2017,7208.3
01-01-2018,7178
02-01-2018,7180.5
03-01-2018,7208
04-01-2018,7214.9
05-01-2018,7202.6
06-01-2018,7245.9
07-01-2018,7316.5
08-01-2018,7236.3
09-01-2018,7285.9
10-01-2018,7288.6
11-01-2018,7295.4
12-01-2018,7316.4
01-01-2019,7342.3
02-01-2019,7377.4
03-01-2019,7364.3
04-01-2019,7405.3
05-01-2019,7427.2
06-01-2019,7428.4
07-01-2019,7415.1
08-01-2019,7457.8
09-01-2019,7472.6
10-01-2019,7456.3
11-01-2019,7481.5
12-01-2019,7509.8
01-01-2020,7523.2
02-01-2020,7503.7
03-01-2020,7047.1
04-01-2020,6340.5
05-01-2020,6317.2
06-01-2020,6721.6
07-01-2020,6891.8
08-01-2020,7023.9
09-01-2020,7206.8
10-01-2020,7246.7
11-01-2020,7274.2
12-01-2020,7253.3
01-01-2021,7086.1
02-01-2021,7207.3
03-01-2021,7375.6
04-01-2021,7239.1
05-01-2021,7194.4
06-01-2021,7318.1
07-01-2021,7427.5
08-01-2021,7450.7
09-01-2021,7541.7
10-01-2020,7576.8
11-01-2021,7634.1
12-01-2021,7687.3
01-01-2022,7538.5
02-01-2022,7721.3
03-01-2022,7750
04-01-2022,7780.9
05-01-2022,7764.1
06-01-2022,7738.3
07-01-2022,7766.9
08-01-2022,7734.3
09-01-2022,7714.9
10-01-2022,7745.3
11-01-2022,7750.5
12-01-2022,7786.9
01-01-2023,7849.7
02-01-2023,7865.3
03-01-2023,7886.7
04-01-2023,7919.4
05-01-2023,7895.5
06-01-2023,7951.3
