Month,SIC," Employment, Ontario (000)"
01/01/2020,"Total employed, all industries",7523.2
01/01/2020,Goods-producing sector,1486.1
01/01/2020,  Agriculture,75
01/01/2020,"  Forestry, fishing, mining, quarrying, oil and gas",35.8
01/01/2020,  Utilities,53.5
01/01/2020,  Construction,569.5
01/01/2020,  Manufacturing,752.3
01/01/2020,Services-producing sector,6037.1
01/01/2020,  Wholesale and retail trade,1133.6
01/01/2020,  Transportation and warehousing,391.5
01/01/2020,"  Finance, insurance, real estate, rental and leasing",600.8
01/01/2020,"  Professional, scientific and technical services",694.8
01/01/2020,"  Business, building and other support services",317.6
01/01/2020,  Educational services,533
01/01/2020,  Health care and social assistance,910.5
01/01/2020,"  Information, culture and recreation",312.1
01/01/2020,  Accommodation and food services,461.5
01/01/2020,  Other services (except public administration),295.9
01/01/2020,  Public administration,385.9
02/01/2020,"Total employed, all industries",7503.7
02/01/2020,Goods-producing sector,1495.6
02/01/2020,  Agriculture,74.6
02/01/2020,"  Forestry, fishing, mining, quarrying, oil and gas",36.5
02/01/2020,  Utilities,50.7
02/01/2020,  Construction,570.3
02/01/2020,  Manufacturing,763.4
02/01/2020,Services-producing sector,6008.1
02/01/2020,  Wholesale and retail trade,1139.9
02/01/2020,  Transportation and warehousing,389.4
02/01/2020,"  Finance, insurance, real estate, rental and leasing",596.2
02/01/2020,"  Professional, scientific and technical services",685.5
02/01/2020,"  Business, building and other support services",317.9
02/01/2020,  Educational services,532.1
02/01/2020,  Health care and social assistance,908.4
02/01/2020,"  Information, culture and recreation",306.6
02/01/2020,  Accommodation and food services,453.2
02/01/2020,  Other services (except public administration),290.6
02/01/2020,  Public administration,388.2
03/01/2020,"Total employed, all industries",7047.1
03/01/2020,Goods-producing sector,1431.1
03/01/2020,  Agriculture,64.9
03/01/2020,"  Forestry, fishing, mining, quarrying, oil and gas",33.7
03/01/2020,  Utilities,47.8
03/01/2020,  Construction,555.3
03/01/2020,  Manufacturing,729.4
03/01/2020,Services-producing sector,5616
03/01/2020,  Wholesale and retail trade,1056.5
03/01/2020,  Transportation and warehousing,385.3
03/01/2020,"  Finance, insurance, real estate, rental and leasing",588.3
03/01/2020,"  Professional, scientific and technical services",695
03/01/2020,"  Business, building and other support services",316.5
03/01/2020,  Educational services,493.9
03/01/2020,  Health care and social assistance,843
03/01/2020,"  Information, culture and recreation",264.3
03/01/2020,  Accommodation and food services,326.2
03/01/2020,  Other services (except public administration),258.7
03/01/2020,  Public administration,388.3
04/01/2020,"Total employed, all industries",6340.5
04/01/2020,Goods-producing sector,1231.9
04/01/2020,  Agriculture,66.7
04/01/2020,"  Forestry, fishing, mining, quarrying, oil and gas",32.1
04/01/2020,  Utilities,48.6
04/01/2020,  Construction,468
04/01/2020,  Manufacturing,616.5
04/01/2020,Services-producing sector,5108.6
04/01/2020,  Wholesale and retail trade,891.7
04/01/2020,  Transportation and warehousing,336.2
04/01/2020,"  Finance, insurance, real estate, rental and leasing",595.7
04/01/2020,"  Professional, scientific and technical services",660.5
04/01/2020,"  Business, building and other support services",283.6
04/01/2020,  Educational services,485.7
04/01/2020,  Health care and social assistance,788.5
