Date,Unemployment_rate_Canada,Unemployment_rate_Ontario
01-01-2005,6.9,6.7
02-01-2005,7,6.8
03-01-2005,6.9,6.8
04-01-2005,6.7,6.7
05-01-2005,7,7.1
06-01-2005,6.8,6.8
07-01-2005,6.7,6.7
08-01-2005,6.7,6.7
09-01-2005,6.7,6.5
10-01-2005,6.7,6.5
11-01-2005,6.3,6.1
12-01-2005,6.6,6.3
01-01-2006,6.7,6.6
02-01-2006,6.6,6.6
03-01-2006,6.5,6.3
04-01-2006,6.5,6.4
05-01-2006,6.2,6.2
06-01-2006,6.3,6.2
07-01-2006,6.5,6.6
08-01-2006,6.5,6.6
09-01-2006,6.5,6.7
10-01-2006,6.3,6.6
11-01-2006,6.5,6.7
12-01-2006,6.3,6.3
01-01-2007,6.4,6.5
02-01-2007,6.3,6.5
03-01-2007,6.3,6.6
04-01-2007,6.3,6.7
05-01-2007,6.2,6.4
06-01-2007,6.1,6.5
07-01-2007,6,6.4
08-01-2007,6,6.3
09-01-2007,6,6.2
10-01-2007,6,6.2
11-01-2007,6.1,6.5
12-01-2007,6.2,6.7
01-01-2008,6.1,6.6
02-01-2008,6.1,6.3
03-01-2008,6.2,6.6
04-01-2008,6.2,6.4
05-01-2008,6.2,6.3
06-01-2008,6.1,6.5
07-01-2008,6.2,6.5
08-01-2008,6.2,6.4
09-01-2008,6.3,6.6
10-01-2008,6.4,6.7
11-01-2008,6.7,7.3
12-01-2008,7,7.4
01-01-2009,7.5,8.2
02-01-2009,8.1,8.9
03-01-2009,8.3,9
04-01-2009,8.4,9
05-01-2009,8.6,9.6
06-01-2009,8.8,9.6
07-01-2009,8.8,9.5
08-01-2009,8.8,9.4
Setember 2009,8.5,9.1
10-01-2009,8.5,9.1
11-01-2009,8.6,9.3
12-01-2009,8.6,9.2
01-01-2010,8.4,9.1
02-01-2010,8.4,9.3
03-01-2010,8.3,8.9
04-01-2010,8.2,9
05-01-2010,8.1,8.7
06-01-2010,8,8.5
07-01-2010,8.2,8.7
08-01-2010,8.2,8.9
09-01-2010,8.2,8.9
10-01-2010,8.1,8.4
11-01-2010,7.8,8.2
12-01-2010,7.8,8.3
01-01-2011,7.8,8.3
02-01-2011,7.8,8.2
03-01-2011,7.8,8.3
04-01-2011,7.8,8.2
05-01-2011,7.7,8.3
06-01-2011,7.7,8.1
07-01-2011,7.4,7.7
08-01-2011,7.4,7.6
09-01-2011,7.4,7.9
10-01-2011,7.5,8
11-01-2011,7.6,8
12-01-2011,7.5,7.7
01-01-2012,7.7,8.1
02-01-2012,7.6,7.9
03-01-2012,7.3,7.7
04-01-2012,7.4,8
05-01-2012,7.5,8.2
06-01-2012,7.4,8.1
07-01-2012,7.3,8
08-01-2012,7.4,8.1
09-01-2012,7.4,7.9
10-01-2012,7.4,8.2
11-01-2012,7.3,8
12-01-2012,7.2,7.8
01-01-2013,7.1,7.7
02-01-2013,7,7.5
03-01-2013,7.3,7.6
04-01-2013,7.2,7.6
05-01-2013,7,7.5
06-01-2013,7.2,7.6
07-01-2013,7.3,7.7
08-01-2013,7.2,7.7
09-01-2013,7.1,7.5
10-01-2013,7.2,7.6
11-01-2013,7.1,7.5
12-01-2013,7.4,7.8
01-01-2014,7.2,7.5
02-01-2014,7.2,7.6
03-01-2014,7.1,7.4
04-01-2014,7.1,7.4
05-01-2014,7.3,7.6
06-01-2014,7.1,7.5
07-01-2014,7.1,7.5
08-01-2014,7,7.3
09-01-2014,7,7.3
10-01-2014,6.8,6.8
11-01-2014,6.8,7.2
12-01-2014,6.7,7
01-01-2015,6.8,6.9
02-01-2015,6.9,7
03-01-2015,6.8,6.8
04-01-2015,6.9,6.8
05-01-2015,6.8,6.3
06-01-2015,6.9,6.5
07-01-2015,6.9,6.7
08-01-2015,7,6.9
09-01-2015,7.1,6.8
10-01-2015,7,6.8
11-01-2015,7.1,6.8
12-01-2015,7.2,6.8
01-01-2016,7.3,6.7
02-01-2016,7.3,6.7
03-01-2016,7.2,6.9
04-01-2016,7.3,7.1
05-01-2016,7,6.5
06-01-2016,6.9,6.4
07-01-2016,6.9,6.3
08-01-2016,6.9,6.5
09-01-2016,7,6.5
10-01-2016,6.9,6.4
11-01-2016,6.8,6.3
12-01-2016,6.9,6.5
01-01-2017,6.8,6.5
02-01-2017,6.6,6.3
03-01-2017,6.7,6.4
04-01-2017,6.5,5.9
05-01-2017,6.6,6.4
06-01-2017,6.5,6.3
07-01-2017,6.3,6.1
08-01-2017,6.2,5.5
09-01-2017,6.2,5.9
10-01-2017,6.4,5.9
11-01-2017,6.1,5.8
12-01-2017,6,5.9
01-01-2018,5.9,5.6
02-01-2018,6,5.6
03-01-2018,5.8,5.5
04-01-2018,5.8,5.4
05-01-2018,5.9,5.8
06-01-2018,6,5.9
07-01-2018,5.9,5.5
08-01-2018,6,5.7
09-01-2018,5.8,5.8
10-01-2018,5.7,5.7
11-01-2018,5.7,5.7
12-01-2018,5.7,5.6
01-01-2019,5.7,5.6
02-01-2019,5.8,5.6
03-01-2019,5.9,5.9
04-01-2019,5.7,6
05-01-2019,5.4,5.2
06-01-2019,5.6,5.4
07-01-2019,5.8,5.7
08-01-2019,5.8,5.6
09-01-2019,5.6,5.4
10-01-2019,5.6,5.4
11-01-2019,5.9,5.6
12-01-2019,5.6,5.3
01-01-2020,5.5,5.2
02-01-2020,5.7,5.6
03-01-2020,8.4,8.3
04-01-2020,13.6,12
05-01-2020,14.1,14
06-01-2020,12.4,12.5
07-01-2020,11,11.5
08-01-2020,10.2,10.5
09-01-2020,9.2,9.6
10-01-2020,9,9.5
11-01-2020,8.7,9.1
12-01-2020,8.9,10
01-01-2021,9.2,10.2
02-01-2021,8.5,9.5
03-01-2021,7.6,7.7
04-01-2021,8.2,9.2
05-01-2021,8.2,9.3
06-01-2021,7.8,8.7
07-01-2021,7.5,8
08-01-2021,7.2,7.8
09-01-2021,7.1,7.5
10-01-2020,6.6,6.9
11-01-2021,6.2,6.6
12-01-2021,6,6.4
01-01-2022,6.5,7.5
